 INFO  Accepting connections at http://localhost:3000
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 4 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 5 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 7 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 7 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 7 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /core/state.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
